Cuanexo,Submodalidad
020101900,No Universitario
020102100,No Universitario
020102400,Nivel inicial
020102500,Primaria
020102600,Primaria
020102700,Primaria
020102900,Nivel inicial
020103000,Primaria
020103600,Primaria
020103800,Secundaria
020104000,Nivel inicial
020104000,Primaria
020104000,Secundaria
020104100,Secundaria
020104400,Nivel inicial
020104600,Primaria
020104700,Primaria
020104900,Nivel inicial
020104900,Primaria
020104900,Secundaria
020105000,Nivel inicial
020105001,Nivel inicial
020105002,Nivel inicial
020105003,Nivel inicial
020105100,Secundaria
020105200,Nivel inicial
020105200,Primaria
020105200,Secundaria
020105300,Nivel inicial
020105300,Primaria
020105400,Nivel inicial
020105400,Primaria
020105400,Secundaria
020105700,Nivel inicial
020105800,Nivel inicial
020105801,Nivel inicial
020105802,Nivel inicial
020105803,Nivel inicial
020105900,Primaria
020106200,Secundaria
020106800,Nivel inicial
020106800,Primaria
020106900,Secundaria
020107000,Primaria
020107400,No Universitario
020107900,Secundaria
020108000,Primaria
020108100,Primaria
020108200,Primaria
020108500,Secundaria
020108600,Primaria
020108700,Primaria
020108800,Nivel inicial
020108800,Primaria
020108800,Secundaria
020109000,Nivel inicial
020109100,Nivel inicial
020109100,Primaria
020109100,Secundaria
020109200,Primaria
020109300,Primaria
020109400,Primaria
020109500,Primaria
020109600,No Universitario
020110200,Primaria
020110300,Primaria
020110400,No Universitario
020110600,No Universitario
020111100,Nivel inicial
020111100,Primaria
020111100,Secundaria
020111600,No Universitario
020112100,No Universitario
020112200,Primaria
020112400,Primaria
020112500,Primaria
020112600,Nivel inicial
020112800,Secundaria
020113200,Nivel inicial
020113300,Primaria
020113400,Nivel inicial
020113400,Primaria
020113400,Secundaria
020113600,Secundaria
020113700,Secundaria
020113800,No Universitario
020113900,No Universitario
020114000,Nivel inicial
020114000,Primaria
020114000,Secundaria
020114600,Primaria
020114600,Secundaria
020114700,Nivel inicial
020114700,Primaria
020114700,Secundaria
020114800,Primaria
020114900,Nivel inicial
020114900,Primaria
020114900,Secundaria
020115100,No Universitario
020115200,Primaria
020115300,No Universitario
020115500,Nivel inicial
020115800,Primaria
020116000,Primaria
020116100,Primaria
020116200,Secundaria
020116500,Nivel inicial
020116600,Primaria
020116700,Primaria
020116800,Primaria
020116900,Secundaria
020117000,Secundaria
020117100,Nivel inicial
020117100,Primaria
020117100,Secundaria
020117200,Primaria
020117300,No Universitario
020117301,No Universitario
020117302,No Universitario
020117303,No Universitario
020117304,No Universitario
020117305,No Universitario
020117400,Secundaria
020117500,No Universitario
020117600,Nivel inicial
020117600,Primaria
020117600,Secundaria
020117700,Nivel inicial
020117700,Primaria
020117700,Secundaria
020117700,No Universitario
020117800,Primaria
020118100,Nivel inicial
020118200,Secundaria
020118500,Primaria
020118600,Nivel inicial
020118600,Primaria
020118600,Secundaria
020118700,Nivel inicial
020118700,Primaria
020118700,Secundaria
020118800,Nivel inicial
020118800,Primaria
020118800,Secundaria
020118900,Primaria
020119000,Nivel inicial
020119000,Primaria
020119000,Secundaria
020119100,Nivel inicial
020119100,Primaria
020119100,Secundaria
020119200,Primaria
020119300,Nivel inicial
